batter_position,start_state,end_state,count
7,10,10,35830
7,19,16,2
5,12,16,82
1,23,18,1
2,13,20,163
6,21,22,985
2,2,2,17171
5,22,20,161
6,6,10,4
3,1,0,11
6,6,2,1
9,10,10,36405
4,11,20,20
10,11,10,12
3,13,20,133
6,23,24,30
3,6,6,4552
10,20,24,20
2,18,16,23
8,2,0,17
2,13,8,1
11,7,4,2
1,15,12,2
10,10,8,25
2,12,8,211
8,23,18,1
5,3,5,99
7,7,14,1
4,15,15,7799
6,5,5,5063
9,17,16,18
5,17,24,3052
3,6,8,1
5,5,4,13
5,1,8,2283
3,13,14,764
5,1,2,5043
7,3,1,1
5,7,4,1
6,6,6,3151
11,10,8,8
1,11,12,8
8,2,2,18316
2,14,8,2
10,11,20,13
6,18,18,39574
7,1,0,7
10,3,16,1
11,5,9,1
4,18,18,40525
5,13,16,13
3,3,0,1
2,3,5,62
5,14,18,15
3,11,18,144
4,13,8,3
9,3,12,22
4,11,10,13
3,3,5,102
9,11,17,144
6,11,20,14
6,23,21,7
7,14,12,136
4,1,1,71612
4,3,9,148
10,14,16,1
5,22,16,5
8,3,12,5
2,5,8,1
1,4,4,1444
9,21,17,20
7,14,14,10288
1,15,11,2
7,6,4,74
9,19,24,172
2,11,11,27317
7,19,24,175
8,20,16,265
4,6,4,53
7,15,15,8475
2,12,12,11185
10,16,16,52778
3,21,25,13
9,11,16,2
2,11,24,1
5,21,24,276
0,9,10,1
7,19,21,174
3,3,2,14
8,15,13,2
7,15,14,139
1,19,25,1
3,2,4,625
4,22,24,26
10,7,3,1
7,8,8,189203
2,18,20,1148
10,3,1,1
2,8,8,179609
4,4,0,75
3,12,8,257
3,20,16,385
2,4,0,54
10,5,1,2
5,17,18,7350
10,13,14,258
4,5,6,249
6,0,0,281682
8,15,21,5
5,9,8,18
2,4,8,14
8,5,5,5646
3,7,7,3900
2,7,7,3676
11,19,20,6
7,7,4,1
5,7,3,1
2,21,16,2
0,5,5,1
0,22,22,43
11,18,24,18
1,5,10,11
4,21,25,8
11,7,14,2
10,13,8,1
1,18,20,308
7,12,16,43
5,23,24,33
5,15,15,9066
3,23,18,2
10,5,2,30
2,18,18,39802
11,11,10,3
11,22,24,6
8,23,25,4
5,4,4,3861
3,18,16,31
11,5,1,1
6,13,18,98
4,5,9,5
11,13,20,15
9,1,1,66447
8,4,0,50
5,3,4,9
3,9,12,572
10,22,18,6
7,3,8,2
4,23,24,26
7,20,24,38
3,0,0,256111
2,5,4,18
5,13,12,53
1,1,0,2
1,5,12,18
5,7,6,73
2,3,1,1
7,18,24,116
5,6,12,5
11,13,17,10
7,0,0,282383
11,22,22,4222
2,23,18,6
7,6,0,2
1,1,2,1210
4,1,4,554
9,19,20,16
4,18,20,1210
1,23,22,94
2,13,16,18
5,3,16,1
6,9,8,14
3,7,11,3
9,10,16,321
10,5,8,1
6,2,8,124
6,7,6,51
5,11,20,40
6,9,10,5148
6,22,16,9
8,23,20,1
7,9,12,458
9,10,12,1586
9,13,12,46
5,11,12,34
10,11,18,73
4,8,8,222785
7,13,8,1
3,7,10,1
11,21,16,1
6,9,12,417
8,19,20,13
8,14,10,2
5,21,22,1030
4,15,24,1
6,19,22,766
8,11,10,14
8,17,24,2787
4,3,2,9
5,5,9,6
4,10,8,45
7,3,9,101
9,13,16,5
6,8,8,209485
6,3,2,2
8,13,13,11218
8,5,6,268
8,22,18,10
8,14,18,23
2,13,9,6
10,23,21,1
9,12,16,44
6,1,2,5909
9,17,17,75871
4,11,13,146
11,19,24,48
9,19,19,34435
5,21,21,16204
8,18,18,41678
1,2,4,187
4,22,18,12
8,22,16,4
7,5,1,6
8,3,6,453
5,2,2,19202
8,7,14,2
2,19,24,182
2,3,0,1
6,3,10,64
2,17,20,477
3,21,20,53
6,11,11,23901
5,18,20,1360
2,5,6,230
9,9,12,526
4,7,7,2918
2,17,24,2863
11,3,10,18
8,9,16,2523
3,23,23,10196
8,23,19,7
1,21,24,184
3,14,14,10952
10,9,10,2315
8,8,8,198626
9,22,24,25
10,15,10,2
1,11,18,64
5,15,19,9
3,23,20,6
7,22,16,8
2,3,3,14268
11,20,16,73
8,5,16,1
10,19,19,12059
4,11,16,2
9,15,22,11
6,3,9,122
6,15,24,2
7,6,6,4148
10,12,16,12
3,19,22,959
1,5,6,70
2,9,9,70196
9,21,22,937
1,21,21,8076
2,14,14,9956
0,18,20,2
1,0,0,102992
4,12,16,107
3,2,0,11
9,11,18,152
2,16,24,1
2,5,12,57
10,12,8,69
2,10,16,326
10,14,12,50
1,5,4,11
6,19,18,12
3,5,1,13
10,3,5,40
5,13,14,605
7,10,16,330
11,3,3,4825
4,23,25,2
1,6,10,5
1,2,2,6936
4,4,4,4451
10,9,8,6
7,11,18,124
9,13,17,23
6,18,16,22
5,11,8,3
1,17,24,240
5,10,8,50
0,12,12,2
4,13,16,8
1,21,18,126
4,11,8,1
10,13,12,11
1,22,20,63
6,14,10,5
5,18,24,123
4,14,8,7
9,22,22,10683
10,17,24,915
9,23,24,25
1,13,8,3
2,7,10,1
2,6,4,66
2,10,10,30552
3,1,2,4637
1,10,12,382
4,7,2,1
6,15,12,1
9,2,0,19
11,7,5,1
8,15,15,7793
7,13,17,18
4,23,21,4
5,7,5,2
3,19,18,10
9,18,20,1468
1,13,17,76
8,7,7,3023
2,13,24,3
1,18,18,15478
5,15,10,2
3,11,10,20
1,15,22,31
6,13,24,2
4,22,25,2
9,11,10,18
4,17,17,66590
1,21,25,7
4,15,13,4
11,18,18,12135
7,5,9,6
0,19,19,121
11,23,24,13
8,10,16,307
1,11,17,158
2,22,16,8
1,14,14,3740
11,23,19,5
8,19,19,32673
6,23,18,3
9,7,14,4
6,22,24,20
2,5,1,6
6,21,25,14
8,12,12,12125
11,5,2,42
11,15,13,2
2,7,13,2
2,10,12,1227
1,12,12,4224
3,11,13,240
7,18,18,43816
1,9,16,888
7,14,8,6
6,11,9,1
4,20,20,16529
5,1,1,65651
6,5,2,81
11,6,4,22
6,11,8,2
10,1,2,1512
4,6,6,3328
3,14,12,149
3,3,16,1
6,19,25,2
9,11,12,27
9,3,16,3
6,22,25,1
2,22,22,10794
5,15,13,1
8,6,0,1
4,9,9,67693
2,14,20,16
6,17,20,414
4,11,17,84
11,22,20,61
5,15,21,4
3,6,12,5
11,21,18,90
6,14,14,9108
11,14,14,4508
7,2,4,635
10,8,8,61395
10,14,18,3
8,15,22,9
1,7,7,1328
7,19,18,11
10,23,19,2
10,11,16,1
6,5,6,181
2,11,20,26
1,4,8,5
1,6,0,1
8,10,10,35603
