batter_position,start_state,end_state,count
6,20,21,2464
7,5,6,273
5,4,16,15
3,21,18,466
1,4,2,28
9,3,13,1879
7,2,0,424
9,19,24,24497
11,7,7,457
6,10,24,359
3,15,18,59
2,17,17,80
8,3,12,17
9,1,3,13679
5,22,18,541
11,3,0,76
10,22,20,16
3,11,20,71
10,6,4,11
3,3,6,641
4,4,0,45
1,2,10,2673
8,6,2,178
9,9,14,2869
9,3,16,6
5,7,11,340
8,18,17,3897
7,15,24,1300
5,2,8,63
10,8,16,42519
11,13,12,31
8,1,1,20
7,21,24,10677
1,16,24,57079
8,17,16,1735
4,9,9,23
8,12,9,2198
7,2,5,1786
8,18,22,28
11,1,9,7498
3,10,8,1019
3,6,14,1382
3,5,17,40
2,6,0,70
2,12,18,68
10,11,12,70
6,8,10,9199
5,5,4,56
9,4,10,3
9,14,24,95
3,7,13,502
6,20,20,132
9,7,6,183
9,2,2,916
3,23,16,380
2,17,22,1328
7,22,25,62
2,23,25,84
1,22,23,291
10,2,9,83
10,13,11,746
2,18,16,696
6,9,17,29579
3,18,25,227
5,15,12,100
3,11,21,2892
4,4,5,507
4,3,20,971
6,22,26,67
3,11,15,4531
4,0,8,200834
7,3,17,195
10,22,21,89
2,14,10,393
5,3,10,60
2,7,25,1
9,20,18,807
11,3,5,120
3,14,9,652
10,3,3,298
9,21,24,10940
3,7,17,10
5,20,25,27
3,13,19,246
0,22,21,1
5,7,4,28
9,15,24,1282
1,0,8,81701
11,10,11,2136
3,19,18,1029
7,3,16,10
3,5,13,1648
1,4,5,83
5,17,24,49786
1,3,20,147
7,9,14,2639
6,9,16,48
4,3,8,7
2,6,2,176
2,18,17,3745
6,3,14,2770
10,1,16,2760
6,11,24,3885
0,13,11,4
4,22,23,2203
3,23,17,16
2,1,1,17
10,6,11,11
11,4,8,153
7,1,3,13362
9,2,0,478
7,19,24,24352
0,11,12,1
3,13,14,560
2,15,10,160
3,5,16,712
7,3,13,1860
8,6,5,324
3,10,20,6714
3,15,9,1
9,5,6,307
6,9,13,3329
11,2,16,30
1,9,9,13
5,14,12,60
2,3,12,33
8,17,17,66
4,16,24,100648
8,17,22,1744
8,23,25,59
11,0,0,1065
7,20,18,745
3,11,8,1088
9,3,17,175
8,18,16,837
11,6,12,126
0,8,16,4
11,5,7,245
3,14,18,884
4,2,10,7735
1,4,0,9
8,14,10,417
8,7,25,1
7,7,6,173
10,10,12,67
9,22,25,52
7,2,2,898
3,4,4,25
5,5,11,207
3,12,10,663
