Lineup,Start_State,End_State,Count
2,3,17,3
6,23,26,2
1,1,6,22
6,5,2,1
9,7,12,1
8,6,14,19
8,5,17,1
8,7,13,10
6,1,9,510
2,17,25,1
3,17,16,40
2,23,22,5
3,12,9,69
2,12,10,6
8,10,8,9
2,20,24,226
4,11,12,7
4,2,9,3
4,13,11,46
5,1,2,13
8,11,15,64
8,11,21,55
1,1,16,103
8,14,9,4
9,22,16,1
5,6,1,2
2,11,8,10
9,12,24,1
1,3,3,5
8,23,16,7
2,14,18,14
5,3,18,3
8,18,25,4
6,3,5,7
4,22,21,3
6,0,2,216
8,21,18,2
6,11,11,24
3,3,12,1
1,9,10,13
2,13,14,2
6,7,7,11
2,10,20,136
9,15,11,3
5,9,8,30
3,15,10,1
2,5,16,6
5,2,3,38
6,3,0,12
3,18,17,74
3,6,2,5
3,1,1,1
1,10,12,6
4,22,20,2
7,5,12,1
7,8,8,70
4,6,4,1
7,22,17,14
7,6,7,7
2,13,19,5
5,20,16,4
8,11,20,1
4,8,16,1921
9,1,8,1
2,19,18,12
2,5,13,17
6,13,12,1
8,3,6,11
9,8,16,2458
5,10,24,1
1,14,11,3
8,23,20,3
7,3,3,7
8,16,18,137
8,14,19,3
5,20,21,49
7,1,16,108
9,22,20,4
2,11,17,2
8,7,20,4
6,18,24,442
3,5,3,32
3,17,20,8
2,1,12,11
6,2,8,1
6,7,11,7
8,8,12,16
4,15,11,7
8,10,17,7
6,22,18,12
5,20,20,3
8,0,1,1008
8,11,16,2
6,5,4,1
8,9,24,173
4,12,24,1
8,13,18,8
5,8,10,182
8,2,4,2
9,22,21,9
2,10,13,31
8,7,15,20
8,19,19,32
8,23,21,11
3,13,10,5
9,2,9,9
9,13,11,23
4,22,16,4
7,10,12,1
2,15,14,4
1,8,8,56
1,6,7,4
1,22,17,21
2,11,22,25
8,11,13,13
6,3,10,2
2,10,16,1
5,22,26,1
2,5,20,1
9,11,12,3
5,9,17,564
2,21,19,22
3,17,21,69
7,9,10,25
2,15,19,21
7,18,21,14
7,7,3,3
6,12,17,2
3,22,21,5
9,23,27,1
8,3,20,28
2,2,10,244
8,4,5,4
5,16,16,75
3,2,9,5
3,13,11,43
8,0,8,3170
9,13,10,2
5,1,4,5
6,3,11,112
4,12,9,35
4,17,16,93
6,19,25,2
2,4,2,5
3,11,12,2
5,15,15,45
9,17,21,48
5,15,21,22
2,13,24,25
1,6,5,11
2,9,18,90
5,21,21,31
7,19,26,2
7,9,11,262
6,17,18,18
1,14,10,8
3,8,16,1925
7,1,6,38
4,18,17,100
5,5,14,6
5,14,8,3
4,6,2,5
7,18,20,4
1,18,16,12
5,11,18,1
2,22,23,38
7,23,23,23
7,6,10,4
1,23,25,1
5,13,16,1
1,17,22,32
5,10,9,23
9,5,3,8
9,17,20,6
5,21,20,4
1,12,18,3
4,15,10,3
6,2,1,20
5,13,13,8
6,0,4,27
2,16,24,1736
4,3,12,2
5,7,14,3
5,15,8,6
3,9,10,41
9,9,11,175
2,9,9,1
7,17,21,56
8,13,24,25
1,15,10,3
8,9,18,81
4,6,0,3
4,23,25,1
5,7,19,2
4,17,22,38
3,10,12,3
5,13,17,43
5,19,21,45
7,13,10,4
4,18,16,30
1,18,17,73
1,6,2,1
6,21,25,1
2,3,20,23
2,4,5,10
5,14,20,19
8,2,10,109
2,0,8,2665
9,7,3,1
6,5,10,4
5,23,19,15
4,14,10,7
6,15,25,2
9,18,21,28
4,6,5,8
6,18,18,39
5,10,18,215
1,18,22,1
6,12,13,24
5,2,12,86
7,5,3,9
7,17,20,5
1,17,16,18
1,12,9,35
5,13,22,4
8,16,24,1914
4,17,17,2
3,6,11,2
9,6,10,7
5,14,15,61
9,23,23,25
5,14,21,7
9,18,20,2
6,22,24,142
3,1,16,129
5,16,17,553
2,4,0,5
5,19,20,4
6,12,16,40
9,1,6,15
8,22,23,71
3,3,3,27
8,1,12,2
5,11,24,71
2,8,12,31
5,3,14,18
2,10,17,8
6,17,24,765
6,20,25,1
3,23,23,22
4,6,7,11
4,22,17,16
4,8,8,95
2,23,20,3
3,6,10,9
1,22,16,3
9,1,16,86
5,9,13,39
3,18,20,3
2,16,18,122
2,14,19,2
3,1,6,24
8,6,18,1
1,12,24,2
8,11,17,5
9,3,3,3
2,7,20,2
7,8,16,2304
2,11,13,12
8,11,22,28
3,9,11,462
9,9,10,5
8,5,20,1
1,15,11,10
7,11,12,2
8,21,19,25
8,15,19,16
2,0,1,977
5,1,10,71
9,10,12,1
2,9,24,147
2,13,18,10
2,2,4,4
8,10,13,41
2,7,15,19
7,2,9,3
2,19,19,22
7,13,11,39
3,7,3,1
2,23,21,10
7,22,21,7
5,6,6,1
1,1,8,1
3,18,21,18
6,5,11,2
8,15,14,5
4,14,11,3
8,5,10,4
9,9,20,3
6,2,10,163
8,21,25,1
9,1,5,25
2,12,17,4
3,11,14,18
7,6,1,4
3,15,22,7
4,1,10,67
7,1,2,14
6,9,18,73
3,21,22,7
6,13,24,18
1,20,21,39
7,3,18,6
3,19,16,9
2,19,25,2
5,14,11,3
2,3,11,54
1,10,24,5
3,11,19,126
9,20,17,34
6,22,23,36
4,9,16,1
8,12,16,29
9,23,24,212
4,3,14,21
4,11,24,117
1,9,17,476
9,1,0,12
3,21,17,1
7,9,8,29
8,22,24,109
3,14,13,11
2,17,18,37
5,6,7,11
5,22,17,14
5,8,8,128
5,5,12,2
6,16,24,2089
2,0,4,25
7,2,3,33
2,2,1,26
4,9,13,62
8,12,13,21
1,8,10,159
3,14,16,1
8,18,18,34
7,20,16,1
1,20,20,2
3,13,8,7
6,11,17,1
2,18,24,517
1,21,21,7
1,15,15,22
5,6,5,7
3,23,24,121
1,15,21,12
7,14,22,54
4,2,12,74
9,14,13,13
3,1,0,46
4,10,18,248
8,14,12,1
5,17,17,4
4,13,22,10
9,15,17,2
4,14,21,3
3,12,12,1
1,1,4,7
4,14,15,50
7,23,18,2
7,4,12,21
2,22,18,15
4,16,17,618
8,17,24,935
7,16,20,13
1,16,16,41
7,13,21,64
7,19,17,2
4,19,20,6
7,13,15,23
2,7,11,3
9,13,8,4
7,7,18,1
2,2,8,2
6,1,12,6
1,13,13,7
6,15,14,12
4,7,14,2
8,5,11,2
4,15,8,4
4,6,13,1
3,1,5,43
7,19,22,18
3,9,20,7
7,21,16,6
5,6,0,1
1,21,20,1
6,10,13,45
1,15,20,2
9,11,14,7
1,10,9,41
7,5,9,14
2,5,4,2
9,15,22,9
4,19,21,23
4,13,17,61
1,11,18,2
6,15,19,16
5,17,22,37
9,21,22,5
1,5,14,4
5,18,16,21
7,10,14,4
6,21,19,39
6,10,16,4
4,14,20,32
9,19,16,9
3,3,9,2
9,11,19,165
3,20,17,45
5,14,10,10
4,23,19,5
7,15,13,3
6,11,22,19
3,20,16,9
1,23,19,13
2,20,25,1
7,13,8,5
8,22,18,5
6,10,17,5
2,17,24,743
9,13,15,18
1,14,20,24
7,14,16,1
9,13,21,49
3,2,3,53
9,16,20,14
5,6,2,5
6,14,14,1
5,18,17,70
4,5,14,5
4,14,8,5
8,7,11,6
6,8,12,10
9,4,12,24
1,7,19,2
9,23,18,6
8,2,8,2
4,11,18,2
1,19,21,19
1,13,17,27
4,15,20,1
8,18,24,490
4,10,9,36
6,7,20,4
5,15,10,2
3,9,8,75
4,21,20,2
7,14,13,11
9,14,22,59
6,14,19,1
1,6,13,1
6,16,18,148
1,15,8,3
1,7,14,3
4,13,13,14
6,23,20,1
9,15,13,3
7,11,19,238
7,19,16,15
3,3,18,1
8,15,12,5
1,19,20,8
3,1,2,16
4,16,16,90
9,10,14,4
7,21,22,5
1,16,17,720
1,14,15,32
4,1,4,2
3,6,1,8
1,14,21,7
7,15,22,8
6,11,13,14
5,12,9,20
5,17,16,39
9,5,9,5
7,11,14,24
2,5,11,3
1,10,18,256
6,23,21,14
1,2,12,65
7,5,18,2
9,21,16,3
4,15,21,15
9,19,22,12
6,7,21,2
4,15,15,25
6,7,15,26
6,19,19,47
6,2,4,1
4,21,21,13
6,0,1,989
6,11,16,1
6,13,18,13
6,9,24,162
5,12,24,2
2,3,4,3
7,3,9,3
7,20,17,40
3,15,13,3
8,6,3,1
4,20,20,1
9,3,18,5
4,8,10,131
1,9,13,37
8,19,25,7
3,10,14,4
9,1,2,6
8,3,11,73
3,13,20,1
5,22,16,1
2,5,10,5
3,5,9,47
3,21,16,12
6,4,5,3
2,21,25,1
6,3,20,31
4,22,26,1
6,0,8,3067
7,1,5,17
1,11,24,33
4,9,17,586
8,12,17,4
3,19,22,7
7,9,20,4
1,3,14,27
3,7,18,1
4,10,24,3
8,0,4,26
9,20,16,2
8,2,1,12
3,13,21,35
3,19,17,1
5,1,8,1
2,12,13,18
3,13,15,18
4,20,21,106
3,16,20,14
2,18,18,45
9,2,3,16
7,12,12,1
1,1,10,117
3,23,18,8
3,4,12,25
2,12,16,38
5,15,11,13
9,9,8,22
7,1,0,30
7,23,24,166
6,4,0,2
2,22,24,120
3,14,22,46
8,17,18,26
7,8,12,16
1,10,8,13
3,16,24,3186
6,13,8,1
5,10,10,22
4,13,14,20
5,15,23,75
1,7,13,4
5,4,1,5
4,10,20,88
5,21,23,44
1,6,14,12
4,5,16,10
7,10,17,7
5,5,0,2
7,14,19,1
7,16,18,140
1,18,25,3
2,22,20,1
1,23,16,3
5,13,25,1
7,23,20,3
8,3,3,6
3,22,23,38
2,8,16,4304
5,9,12,2
7,7,20,4
4,13,19,5
5,2,6,2
8,6,11,2
1,14,9,13
8,1,16,130
1,11,21,46
4,19,18,15
4,5,13,29
6,14,13,12
1,11,15,63
6,21,22,10
3,13,24,31
3,9,18,138
9,21,19,33
4,7,22,3
6,15,22,8
5,17,19,224
7,11,13,11
9,15,19,10
6,11,19,178
4,23,22,7
4,17,25,3
9,11,22,84
4,4,4,1
8,9,10,16
4,12,10,9
9,10,16,3
4,20,24,325
1,21,18,2
3,4,2,3
6,19,16,15
2,11,12,2
5,12,20,65
7,2,4,1
1,3,6,7
2,2,9,5
2,13,11,25
7,19,19,37
7,7,15,34
3,2,10,134
7,7,21,2
7,9,24,179
7,13,18,17
9,15,14,5
7,0,1,1055
6,11,14,21
4,11,8,24
8,10,12,2
4,14,18,18
2,22,21,5
9,10,13,25
5,5,5,2
7,23,21,12
2,17,21,79
3,21,19,26
9,13,24,26
9,9,18,258
7,9,9,1
3,15,19,9
4,2,5,38
3,11,22,20
8,9,11,255
1,19,24,322
5,5,7,10
6,20,17,37
5,6,12,6
1,3,13,15
3,5,20,1
9,4,2,3
5,0,0,187
3,10,16,4
9,2,10,99
6,9,20,4
6,1,5,35
8,7,3,4
2,13,10,3
3,15,14,6
8,18,21,21
1,1,3,184
5,3,2,5
5,8,9,906
3,10,13,57
4,3,17,4
7,0,8,3152
7,4,5,5
7,3,20,33
1,9,14,36
5,4,8,6
4,5,6,4
9,16,24,1981
3,1,12,5
5,10,11,66
2,5,3,11
4,2,0,9
2,17,20,9
1,14,24,2
6,23,24,216
3,6,18,1
8,1,6,35
9,22,23,26
5,2,16,1
3,11,17,1
1,7,6,3
1,2,2,9
4,21,24,171
8,6,10,7
8,23,23,17
1,20,18,18
6,1,0,37
4,15,24,23
8,18,20,6
9,3,20,7
9,4,5,3
9,0,8,3181
2,7,3,6
3,23,21,17
1,15,24,15
8,13,10,4
4,20,18,13
1,21,24,156
2,18,21,20
3,9,24,293
5,1,9,579
3,13,18,7
4,2,2,18
4,7,6,8
3,0,1,993
3,2,4,2
3,7,15,15
3,19,19,27
7,2,10,106
5,3,5,6
8,17,21,70
